CCSUID,Centroid_X,Centroid_Y
1001214,8970782.469490832,2071056.4875104798
1001259,8911803.037798714,2100379.513179269
1001304,8928784.3162012,2135367.5006556204
1001357,8932876.273472527,2162355.3830245566
1001472,8955325.847080057,2115231.307502706
1001519,8976425.78700687,2138052.00558524
1002001,8848440.92541405,2057650.5189895146
1003001,8704287.65506716,2023067.906770098
1004006,8569368.801766038,1989708.3199565662
1005007,8571666.787034435,2147211.9114921894
1005010,8600232.356507288,2085659.8033190693
1006014,8700953.365921734,2129651.7225500317
1007028,8820090.211902298,2191987.0349335703
1007031,8853696.233611394,2155162.888623412
1008036,8748613.256166862,2240677.267971506
1008058,8644322.993982688,2197321.8538212553
1009001,8545585.491270738,2268887.849190621
1010001,8080847.054049654,2375235.5625042007
1011005,8151667.722890409,2562436.819116469
1011040,7822287.187473491,2746211.367315067
1102022,8353167.146853198,1613583.1790097493
1102040,8356113.026828199,1622510.0385935537
1102085,8360637.557928375,1616328.3989479386
1103020,8293149.737411381,1610348.8887308356
1103064,8269971.678709357,1644949.0586817577
1201006,8319365.624633545,1294524.580306289
1202001,8287751.860669271,1294196.3302364403
1202004,8265050.665861572,1287704.0495117607
1203001,8253493.94280285,1314979.2952754698
1203004,8265808.150516022,1343587.3805340058
1204010,8332260.126363504,1345570.0252987558
1205001,8297304.0387951685,1384150.990393118
1205004,8267867.603646526,1384051.8481178414
1205009,8281249.140521832,1407208.4410165024
1205014,8288455.9460412245,1422797.5331664784
1206001,8348569.863664839,1384120.9446455368
1206009,8354315.643952858,1417432.4269913342
1207001,8311506.07736679,1432974.1756978552
1207011,8328839.542483876,1441315.9158812147
1207016,8322141.5500637,1465437.735132339
1207021,8338366.632459499,1454663.9013805068
1208003,8357759.657123243,1455476.8452679096
1208008,8381664.575819502,1482824.4816536154
1209034,8432813.541772397,1478263.5673741798
1210001,8414465.423605295,1518414.4568914787
1210008,8390970.220910378,1543644.765480623
1210012,8357962.806754003,1517961.1537778783
1211001,8299632.037477346,1494687.8817856438
1211006,8325619.569307949,1519342.4235975188
1211009,8323831.122325881,1548909.5728898149
1211014,8357986.882032323,1547251.3374826573
1212001,8409576.958010407,1566751.3278720416
1212006,8435377.33959284,1552215.3796472966
1212011,8454924.927486727,1571268.131245107
1213001,8487016.545082854,1545978.2030318365
1213004,8523534.177569969,1585494.762997375
1214001,8473923.151792856,1594880.2786438174
1214006,8497125.260985212,1599428.7761540269
1215001,8518010.239721159,1641407.421308796
1215006,8502963.810906444,1663677.597065934
1215011,8506224.706295958,1720560.7496953406
1216006,8558058.36617945,1643581.4596673613
1217030,8577975.595734414,1697697.3028370817
1218001,8528656.229292005,1726225.5840449713
1302004,8154191.418839449,1356240.5567653677
1302006,8147275.634750525,1365041.0124809775
1302008,8170061.751819123,1402882.9131131934
1302011,8153641.309972358,1399273.4518863386
1302044,8127898.774192192,1397608.0491635846
1303001,8151410.710364212,1453975.4201243517
1303008,8137752.428591175,1445807.5218295779
1303016,8152331.418705831,1506064.64016635
1304004,8170083.418011747,1450181.3670148877
1304008,8197561.717834683,1507078.6155537341
1304011,8179951.985149967,1480498.895041425
1304024,8177684.653954347,1514377.4551837977
1305006,8213640.514838401,1454273.6881370016
1305014,8195925.804749424,1444395.5095282213
1305016,8209115.384518796,1466815.3828566223
1305021,8223471.542660439,1479780.3132484455
1305024,8238305.469314924,1481036.5736972569
1305026,8233600.660107783,1500057.5444514202
1305028,8219859.35267505,1514601.0145291376
1305031,8212756.119067018,1494374.7115012102
1305034,8200979.583167114,1475366.2689455578
1305036,8184834.880389379,1434644.9613096882
1305045,8203461.444466529,1437378.3695349947
1306001,8274134.872718322,1512942.153170001
1306007,8261802.375439269,1494150.0710830241
1306008,8252065.956832887,1510948.276199342
1306011,8266672.466881675,1529761.9276776575
